,neu,p
fucking,-0.085362,5.96E-110
sick of,-0.071543,4.26E-079
depression,-0.06832,2.20E-072
fuck,-0.068195,4.64E-068
depressed,-0.067765,4.22E-071
xd,-0.065177,1.32E-060
pissed,-0.062499,7.79E-060
i hate,-0.061271,4.93E-055
anymore,-0.060984,2.37E-056
lonely,-0.060528,3.90E-056
pissed off,-0.058807,6.10E-053
shit,-0.05865,3.19E-051
crap,-0.057948,2.12E-051
sick,-0.056915,2.01E-048
fuck you,-0.056386,1.24E-047
hate,-0.056362,1.96E-046
d:,-0.056072,3.39E-046
worse,-0.056042,5.58E-048
alone,-0.056013,1.32E-047
dead,-0.054885,2.50E-045
stupid,-0.05431,2.19E-043
so fucking,-0.054193,2.23E-044
bloody,-0.053958,2.67E-044
hell,-0.053793,1.98E-043
x,-0.05336,5.67E-043
fucked,-0.053195,5.87E-042
the hell,-0.052805,3.77E-042
. i hate,-0.052689,8.88E-042
bored,-0.052654,3.87E-039
kill,-0.052503,4.17E-041
cry,-0.052287,3.15E-040
nightmare,-0.052129,3.68E-041
so sick,-0.051692,6.90E-040
fuck off,-0.051453,8.76E-040
hates,-0.051217,5.97E-039
why do i,-0.051121,2.93E-039
as your status,-0.050858,9.63E-039
crying,-0.050751,3.27E-038
scream,-0.049862,3.55E-037
angry,-0.049483,1.11E-036
fucking hate,-0.049311,2.33E-036
put this as,-0.049166,3.16E-036
my head,-0.049083,9.69E-036
this as,-0.048928,1.05E-035
horrible,-0.048765,2.25E-035
anxiety,-0.048673,2.29E-035
fed up,-0.048555,2.80E-035
won't,-0.048524,6.47E-035
like shit,-0.048454,4.88E-035
status for,-0.048353,3.45E-033
: 3,-0.048346,2.45E-034
as your,-0.048279,1.13E-034
put this,-0.048218,1.99E-034
< /,-0.048205,9.99E-034
depression is,-0.048163,1.68E-034
this as your,-0.04808,2.27E-034
shitty,-0.048066,1.94E-034
/ 3,-0.047954,1.82E-033
< / 3,-0.04782,3.59E-033
scared,-0.047783,2.47E-033
leave me,-0.047645,1.08E-033
for once,-0.047634,1.18E-033
annoying,-0.04756,2.54E-033
so sick of,-0.047538,1.67E-033
to kill,-0.047487,1.72E-033
piss,-0.047483,1.43E-033
apparently,-0.047232,2.95E-033
i fucking hate,-0.047069,6.35E-033
status if,-0.047018,1.63E-032
bother,-0.046656,2.21E-032
bitch,-0.046512,6.05E-032
care,-0.046492,5.80E-032
status if you,-0.046431,2.42E-031
your status if,-0.046414,4.15E-031
screaming,-0.04631,8.54E-032
i wish,-0.046254,2.67E-031
pain,-0.046193,1.12E-031
pathetic,-0.046141,1.52E-031
i hate my,-0.046135,2.12E-031
die,-0.046094,4.31E-031
wish i,-0.046042,5.42E-031
tired of,-0.046004,2.64E-031
dying,-0.045823,7.36E-031
headache,-0.045749,1.46E-030
for at least,-0.045642,7.07E-030
mood,-0.045586,3.21E-030
so tired,-0.045326,1.18E-029
shut,-0.045166,3.30E-030
>.<,-0.044998,3.70E-029
mum,-0.044983,8.82E-030
hate my life,-0.044955,8.21E-030
worried,-0.044877,1.09E-029
a bit,-0.044867,1.08E-029
hurt,-0.044866,2.50E-029
don't want,-0.044803,1.86E-029
why does,-0.044563,3.73E-029
depressing,-0.044497,3.91E-029
pills,-0.044497,2.89E-029
hurts,-0.044434,2.68E-028
your status for,-0.044324,2.36E-027
,,
lets get,0.0241,1.48E-006
a great weekend,0.024142,2.33E-006
mountains,0.024163,1.43E-006
camp,0.024173,1.47E-006
nigga,0.024298,1.22E-006
in the lord,0.024439,8.34E-007
this weekend !,0.024439,1.06E-006
tournament,0.024458,7.88E-007
opportunity,0.024462,9.89E-007
ready for,0.024489,1.12E-006
thanksgiving,0.024567,1.28E-006
headed,0.025095,2.85E-007
the gym,0.025115,2.23E-007
great day !,0.025277,2.77E-007
im ready,0.025313,1.65E-007
sweet home,0.025551,1.03E-007
wit,0.025584,1.09E-007
headed to,0.025655,9.50E-008
great day,0.025714,1.26E-007
... smh,0.0258,6.09E-008
thank you lord,0.025911,6.55E-008
the lakers,0.025925,4.90E-008
you lord for,0.025953,5.69E-008
game,0.025956,5.19E-008
a great,0.025969,9.78E-008
the fullest,0.02599,4.17E-008
to the fullest,0.026095,3.40E-008
champs,0.026176,2.99E-008
spring break,0.026335,2.99E-008
home sweet,0.026352,2.17E-008
skiing,0.026393,1.86E-008
tryna,0.02642,2.01E-008
dat,0.02644,1.87E-008
home sweet home,0.026454,1.77E-008
yea,0.026618,1.21E-008
blast,0.026656,1.33E-008
kno,0.02671,1.28E-008
